source,target,interaction,question,option,is_diagnosis
Q17,Q36,No,Do you hear any clicking or popping sounds when you open your mouth?,No,0
Q18,Q37,Yes,Do you have a bad taste in your mouth or bad breath that doesn't go away with brushing?,Yes,0
Q18,Q38,No,Do you have a bad taste in your mouth or bad breath that doesn't go away with brushing?,No,0
Q19,Q39,Yes,Are your worries interfering with your daily life and unable to control?,Yes,0
Q19,Q40,No,Are your worries interfering with your daily life and unable to control?,No,0
Q20,Q41,Yes,Have you been recently diagnosed or treated for any neurological condition?,Yes,0
Q20,Q42,No,Have you been recently diagnosed or treated for any neurological condition?,No,0
Q21,Q43,Yes,Do you experience the pain immediately following a specific head movement or touch?,Yes,0
Q21,Q44,No,Do you experience the pain immediately following a specific head movement or touch?,No,0
Q22,Q45,Yes,"Have you experienced any unexplained weight loss, night sweats, or fevers?",Yes,0
Q22,Q46,No,"Have you experienced any unexplained weight loss, night sweats, or fevers?",No,0
Q23,Q47,Yes,Are your symptoms worse on one side of your face?,Yes,0
Q23,Q48,No,Are your symptoms worse on one side of your face?,No,0
Q24,Q49,Yes,Do you have any history of chronic headaches or migraines?,Yes,0
Q24,Q50,No,Do you have any history of chronic headaches or migraines?,No,0
Q25,Q51,Yes,"Does the pain occur in episodes, lasting for a few hours to several days?",Yes,0
Q25,Q52,No,"Does the pain occur in episodes, lasting for a few hours to several days?",No,0
Q26,Q53,Yes,"Do you feel the pain on one side of your face, often around the eye?",Yes,0
Q26,Q54,No,"Do you feel the pain on one side of your face, often around the eye?",No,0
Q27,Q55,Yes,Is the pain throbbing or pulsating?,Yes,0
Q27,Q56,No,Is the pain throbbing or pulsating?,No,0
Q28,Q57,Yes,Is the pain usually felt on one side of your head?,Yes,0
Q28,Q58,No,Is the pain usually felt on one side of your head?,No,0
Q29,Q59,Yes,"Do you have redness, swelling, or tearing in one or both of your eyes during these episodes?",Yes,0
Q29,Q60,No,"Do you have redness, swelling, or tearing in one or both of your eyes during these episodes?",No,0
Q30,Q61,Yes,Do you experience recurrent episodes of severe pain?,Yes,0
Q30,Q62,No,Do you experience recurrent episodes of severe pain?,No,0
Q31,Q63,Yes,Is the pain primarily in the lower part of your face?,Yes,0
Q31,Q64,No,Is the pain primarily in the lower part of your face?,No,0
Q32,Q65,Yes,Do you have a recent history of dental procedures or facial trauma?,Yes,0
Q32,Q66,No,Do you have a recent history of dental procedures or facial trauma?,No,0
Q33,Q67,Yes,"Is the swelling warm, red, or painful to touch?",Yes,0
Q33,Q68,No,"Is the swelling warm, red, or painful to touch?",No,0
Q34,Q69,Yes,Do you have a rash or skin changes in the area of the pain?,Yes,0
Q34,Q70,No,Do you have a rash or skin changes in the area of the pain?,No,0
Q35,Q71,Yes,Have you experienced any recent trauma to your jaw or teeth?,Yes,0
Q35,Q72,No,Have you experienced any recent trauma to your jaw or teeth?,No,0
Q36,Q73,Yes,Do you have difficulty in opening your mouth wide?,Yes,0
Q36,Q74,No,Do you have difficulty in opening your mouth wide?,No,0
Q37,Q75,Yes,"Are you experiencing fever, sensitivity to hot or cold foods, or swelling in the face or cheek?",Yes,0
Q37,Q76,No,"Are you experiencing fever, sensitivity to hot or cold foods, or swelling in the face or cheek?",No,0
Q38,Q77,Yes,Is the pain related to a specific tooth or area in your mouth?,Yes,0
Q38,Q78,No,Is the pain related to a specific tooth or area in your mouth?,No,0
Q39,Q79,Yes,"Are you feeling restless, wound-up, or on edge?",Yes,0
Q39,Q80,No,"Are you feeling restless, wound-up, or on edge?",No,0
Q40,Q81,Yes,Are there any triggers you've noticed that bring about your face pain?,Yes,0
Q40,Q82,No,Are there any triggers you've noticed that bring about your face pain?,No,0
Q41,Q83,Yes,"Is the pain occurring in episodes, with periods of remission in between?",Yes,0
Q41,Q84,No,"Is the pain occurring in episodes, with periods of remission in between?",No,0
Q42,Q85,Yes,Do you have a family history of neurological disorders or face pain?,Yes,0
Q42,Q86,No,Do you have a family history of neurological disorders or face pain?,No,0
Q43,Q87,Yes,Are you experiencing other neurological symptoms such as numbness or weakness in parts of your face?,Yes,0
Q43,Q88,No,Are you experiencing other neurological symptoms such as numbness or weakness in parts of your face?,No,0
Q44,Q89,Yes,Have you experienced any recent changes in your hearing or vision?,Yes,0
Q44,Q90,No,Have you experienced any recent changes in your hearing or vision?,No,0
Q45,Q91,Yes,Have you been feeling fatigued or generally unwell?,Yes,0
Q45,Q92,No,Have you been feeling fatigued or generally unwell?,No,0
Q46,Q93,Yes,Are there any other symptoms associated with your face pain?,Yes,0
Q46,Q94,No,Are there any other symptoms associated with your face pain?,No,0
Q47,Q95,Yes,"Do you have a fever, runny or stuffy nose?",Yes,0
Q47,Q96,No,"Do you have a fever, runny or stuffy nose?",No,0
Q48,Q97,Yes,Does the face pain occur simultaneously with the other symptoms?,Yes,0
Q48,Q98,No,Does the face pain occur simultaneously with the other symptoms?,No,0
Q49,Q99,Yes,"Have you noticed any patterns or triggers for your headaches, such as certain foods, stress, or changes in sleep?",Yes,0
Q49,Q100,No,"Have you noticed any patterns or triggers for your headaches, such as certain foods, stress, or changes in sleep?",No,0
Q50,Q101,Yes,Does the pain radiate to any other part of your head or body?,Yes,0
Q50,Q102,No,Does the pain radiate to any other part of your head or body?,No,0
Q51,Q103,Yes,Is the headache pain typically on one side?,Yes,0
Q51,Q104,No,Is the headache pain typically on one side?,No,0
Q52,Q105,Yes,Have you experienced any changes in your mood or behavior?,Yes,0
Q52,Q106,No,Have you experienced any changes in your mood or behavior?,No,0
Q53,Q107,Yes,Does the pain increase with physical activity?,Yes,0
Q53,Q108,No,Does the pain increase with physical activity?,No,0
Q54,Q109,Yes,Do you have any family history of cluster headaches?,Yes,0
Q54,Q110,No,Do you have any family history of cluster headaches?,No,0
Q55,Q111,Yes,Do you notice any visual disturbances or sensitivity to light?,Yes,0
Q55,Q112,No,Do you notice any visual disturbances or sensitivity to light?,No,0
Q56,Q113,Yes,Does the headache affect your ability to function normally?,Yes,0
Q56,Q114,No,Does the headache affect your ability to function normally?,No,0
Q57,Q115,Yes,Do the headaches often occur at the same time each day?,Yes,0
Q57,Q116,No,Do the headaches often occur at the same time each day?,No,0
Q58,Q117,Yes,Do the headaches come on suddenly?,Yes,0
Q58,Q118,No,Do the headaches come on suddenly?,No,0
Q59,Q119,Yes,Is the pain sharp and stabbing?,Yes,0
Q59,Q120,No,Is the pain sharp and stabbing?,No,0
Q60,Q121,Yes,Does the pain occur more frequently at night?,Yes,0
Q60,Q122,No,Does the pain occur more frequently at night?,No,0
Q61,Q123,Yes,Is the pain triggered by certain movements or activities such as speaking or eating?,Yes,0
Q61,Q124,No,Is the pain triggered by certain movements or activities such as speaking or eating?,No,0
Q62,Q125,Yes,Are you experiencing any numbness or tingling in your face?,Yes,0
Q62,Q126,No,Are you experiencing any numbness or tingling in your face?,No,0
Q63,Q127,Yes,Do you experience pain when chewing or opening your mouth wide?,Yes,0
Q63,Q128,No,Do you experience pain when chewing or opening your mouth wide?,No,0
Q64,Q129,Yes,Do you have any history of sinus problems?,Yes,0
Q64,Q130,No,Do you have any history of sinus problems?,No,0
Q65,Q131,Yes,Did the pain start after the procedure or trauma?,Yes,0
Q65,Q132,No,Did the pain start after the procedure or trauma?,No,0
Q66,Q133,Yes,Have you been experiencing difficulty swallowing or speaking?,Yes,0
Q66,Q134,No,Have you been experiencing difficulty swallowing or speaking?,No,0
Q67,Q135,Yes,Is there any discharge or pus from the area?,Yes,0
Q67,Q136,No,Is there any discharge or pus from the area?,No,0
Q68,Q137,Yes,Is there any discomfort or pain in your eyes?,Yes,0
Q68,Q138,No,Is there any discomfort or pain in your eyes?,No,0
Q69,Q139,Yes,Did the rash or skin changes occur before the face pain?,Yes,0
Q69,Q140,No,Did the rash or skin changes occur before the face pain?,No,0
Q70,Q141,Yes,Do you have a fever or feel generally unwell?,Yes,0
Q70,Q142,No,Do you have a fever or feel generally unwell?,No,0
Q71,Q143,Yes,Did the pain start after the trauma?,Yes,0
Q71,Q144,No,Did the pain start after the trauma?,No,0
Q72,Q145,Yes,Do you notice a clicking or popping sound when you open or close your mouth?,Yes,0
Q72,Q146,No,Do you notice a clicking or popping sound when you open or close your mouth?,No,0
Q73,Q147,Yes,Do you feel a grinding sensation in your jaw joint?,Yes,0
Q73,Q148,No,Do you feel a grinding sensation in your jaw joint?,No,0
Q74,Q149,Yes,Do you have a history of arthritis or other joint problems?,Yes,0
Q74,Q150,No,Do you have a history of arthritis or other joint problems?,No,0
Q75,Q151,Yes,Do you have a history of recent dental work?,Yes,0
Q75,Q152,No,Do you have a history of recent dental work?,No,0
Q76,Q153,Yes,Do you have a history of recent dental work?,Yes,0
Q76,Q154,No,Do you have a history of recent dental work?,No,0
Q77,Q155,Yes,Does the tooth feel loose or move when you touch it?,Yes,0
Q77,Q156,No,Does the tooth feel loose or move when you touch it?,No,0
Q78,Q157,Yes,Do you notice any pain or sensitivity when eating or drinking hot or cold foods and beverages?,Yes,0
Q78,Q158,No,Do you notice any pain or sensitivity when eating or drinking hot or cold foods and beverages?,No,0
Q79,Q159,Yes,Have you been experiencing sleep disturbances?,Yes,0
Q79,Q160,No,Have you been experiencing sleep disturbances?,No,0
Q80,Q161,Yes,Do you often worry excessively about different things?,Yes,0
Q80,Q162,No,Do you often worry excessively about different things?,No,0
Q81,Q163,Yes,Are these triggers related to certain activities or environments?,Yes,0
Q81,Q164,No,Are these triggers related to certain activities or environments?,No,0
Q82,Q165,Yes,Does the pain occur randomly without any identifiable triggers?,Yes,0
Q82,Q166,No,Does the pain occur randomly without any identifiable triggers?,No,0
Q83,Q167,Less than a few minutes,How long do these episodes typically last?,Less than a few minutes,0
Q83,Q168,Few minutes to an hour,How long do these episodes typically last?,Few minutes to an hour,0
Q83,Q169,Several hours,How long do these episodes typically last?,Several hours,0
Q83,Q170,More than a day,How long do these episodes typically last?,More than a day,0
Q84,Q171,Constant,Is the pain constant or does it fluctuate in intensity?,Constant,0
Q84,Q172,Fluctuates,Is the pain constant or does it fluctuate in intensity?,Fluctuates,0
Q85,Q173,"Neurodegenerative diseases (like Alzheimer’s, Parkinson’s, etc.)",What kind of neurological disorders are present in your family?,"Neurodegenerative diseases (like Alzheimer’s, Parkinson’s, etc.)",0
Q85,Q174,Migraines or other headache disorders,What kind of neurological disorders are present in your family?,Migraines or other headache disorders,0
Q85,Q175,Seizure disorders (like epilepsy),What kind of neurological disorders are present in your family?,Seizure disorders (like epilepsy),0
Q85,Q176,Stroke or transient ischemic attacks,What kind of neurological disorders are present in your family?,Stroke or transient ischemic attacks,0
Q85,Q177,None/Don't know,What kind of neurological disorders are present in your family?,None/Don't know,0
Q86,Q178,Yes,Have you had any recent tests or imaging studies for your symptoms?,Yes,0
Q86,Q179,No,Have you had any recent tests or imaging studies for your symptoms?,No,0
Q87,Q180,Yes,Do these symptoms affect one side of your face more than the other?,Yes,0
Q87,Q181,No,Do these symptoms affect one side of your face more than the other?,No,0
Q88,Q182,Yes,Have you had any recent injuries or trauma to your face?,Yes,0
Q88,Q183,No,Have you had any recent injuries or trauma to your face?,No,0
Q89,Q184,Yes,"Do you have any eye redness, pain, or visual changes?",Yes,0
Q89,Q185,No,"Do you have any eye redness, pain, or visual changes?",No,0
Q90,Q186,Yes,Have you experienced any ringing in your ears or hearing loss?,Yes,0
Q90,Q187,No,Have you experienced any ringing in your ears or hearing loss?,No,0
Q91,Q188,Yes,Have you lost weight without trying?,Yes,0
Q91,Q189,No,Have you lost weight without trying?,No,0
Q92,Q190,Yes,Do you have a family history of kidney diseases?,Yes,0
Q92,Q191,No,Do you have a family history of kidney diseases?,No,0
Q93,Q192,Yes,Have you noticed any changes in the amount or color of your urine?,Yes,0
Q93,Q193,No,Have you noticed any changes in the amount or color of your urine?,No,0
Q94,Q194,Yes,Do you have high blood pressure?,Yes,0
Q94,Q195,No,Do you have high blood pressure?,No,0
Q95,ho1,Yes,Have you noticed any change in your bowel habits?,Yes,0
Q95,hp1,No,Have you noticed any change in your bowel habits?,No,0
Q96,hq1,Yes,Are you experiencing any abdominal pain or discomfort?,Yes,0
Q96,hr1,No,Are you experiencing any abdominal pain or discomfort?,No,0
Q97,hs1,Yes,Do you have a history of gastrointestinal disorders?,Yes,0
Q97,ht1,No,Do you have a history of gastrointestinal disorders?,No,0
Q98,hu1,Yes,Do you have a history of neurological disorders?,Yes,0
Q98,hv1,No,Do you have a history of neurological disorders?,No,0
Q99,hw1,Yes,Have you been diagnosed with diabetes?,Yes,0
Q99,hx1,No,Have you been diagnosed with diabetes?,No,0
Q100,hy1,Yes,Do you have a history of alcohol or drug abuse?,Yes,0
Q100,hz1,No,Do you have a history of alcohol or drug abuse?,No,0
Q101,ia1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q101,ib1,No,Have you recently started any new medications or treatments?,No,0
Q102,ic1,Yes,Have you recently undergone any medical procedures or surgeries?,Yes,0
Q102,id1,No,Have you recently undergone any medical procedures or surgeries?,No,0
Q103,ie1,Yes,Have you recently experienced any stress or trauma?,Yes,0
Q103,if1,No,Have you recently experienced any stress or trauma?,No,0
Q104,ig1,Yes,Do you have a history of psychiatric disorders?,Yes,0
Q104,ih1,No,Do you have a history of psychiatric disorders?,No,0
Q105,ii1,Yes,Have you been feeling anxious or depressed?,Yes,0
Q105,ij1,No,Have you been feeling anxious or depressed?,No,0
Q106,ik1,Yes,"Do you frequently use any substances like tobacco, alcohol, or recreational drugs?",Yes,0
Q106,il1,No,"Do you frequently use any substances like tobacco, alcohol, or recreational drugs?",No,0
Q107,im1,Yes,Do you have any known allergies?,Yes,0
Q107,in1,No,Do you have any known allergies?,No,0
Q108,io1,Yes,Have you recently changed your diet or started any new medications?,Yes,0
Q108,ip1,No,Have you recently changed your diet or started any new medications?,No,0
Q109,iq1,Yes,Do you have a history of immunological disorders or autoimmune diseases?,Yes,0
Q109,ir1,No,Do you have a history of immunological disorders or autoimmune diseases?,No,0
Q110,is1,Yes,Have you recently traveled to any tropical regions or areas with poor sanitation?,Yes,0
Q110,it1,No,Have you recently traveled to any tropical regions or areas with poor sanitation?,No,0
Q111,iu1,Yes,Do you have a history of lung diseases?,Yes,0
Q111,iv1,No,Do you have a history of lung diseases?,No,0
Q112,iw1,Yes,Have you recently been exposed to any infectious diseases?,Yes,0
Q112,ix1,No,Have you recently been exposed to any infectious diseases?,No,0
Q113,iy1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q113,iz1,No,Have you recently started any new medications or treatments?,No,0
Q114,ja1,Yes,Do you have a family history of skin diseases?,Yes,0
Q114,jb1,No,Do you have a family history of skin diseases?,No,0
Q115,jc1,Yes,Have you noticed any changes in your skin?,Yes,0
Q115,jd1,No,Have you noticed any changes in your skin?,No,0
Q116,je1,Yes,Do you have a history of skin diseases or conditions?,Yes,0
Q116,jf1,No,Do you have a history of skin diseases or conditions?,No,0
Q117,jg1,Yes,Have you been diagnosed with any neurological disorders?,Yes,0
Q117,jh1,No,Have you been diagnosed with any neurological disorders?,No,0
Q118,ji1,Yes,Do you have a history of Parkinson’s disease or other movement disorders?,Yes,0
Q118,jj1,No,Do you have a history of Parkinson’s disease or other movement disorders?,No,0
Q119,jk1,Yes,Have you been experiencing any muscle weakness or tremors?,Yes,0
Q119,jl1,No,Have you been experiencing any muscle weakness or tremors?,No,0
Q120,jm1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q120,jn1,No,Have you recently started any new medications or treatments?,No,0
Q121,jo1,Yes,Do you have a history of autoimmune diseases?,Yes,0
Q121,jp1,No,Do you have a history of autoimmune diseases?,No,0
Q122,jq1,Yes,Do you have a family history of neurological disorders?,Yes,0
Q122,jr1,No,Do you have a family history of neurological disorders?,No,0
Q123,js1,Yes,Have you been feeling fatigued or lethargic?,Yes,0
Q123,jt1,No,Have you been feeling fatigued or lethargic?,No,0
Q124,ju1,Yes,Do you have a history of kidney diseases?,Yes,0
Q124,jv1,No,Do you have a history of kidney diseases?,No,0
Q125,jw1,Yes,Have you noticed any blood in your urine?,Yes,0
Q125,jx1,No,Have you noticed any blood in your urine?,No,0
Q126,jy1,Yes,Do you have a history of urinary tract infections or bladder problems?,Yes,0
Q126,jz1,No,Do you have a history of urinary tract infections or bladder problems?,No,0
Q127,ka1,Yes,Have you been diagnosed with any cardiovascular diseases?,Yes,0
Q127,kb1,No,Have you been diagnosed with any cardiovascular diseases?,No,0
Q128,kc1,Yes,Do you have a history of high blood pressure?,Yes,0
Q128,kd1,No,Do you have a history of high blood pressure?,No,0
Q129,ke1,Yes,Do you experience any unusual heartbeat patterns?,Yes,0
Q129,kf1,No,Do you experience any unusual heartbeat patterns?,No,0
Q130,kg1,Yes,Do you have a family history of heart diseases?,Yes,0
Q130,kh1,No,Do you have a family history of heart diseases?,No,0
Q131,ki1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q131,kj1,No,Have you recently started any new medications or treatments?,No,0
Q132,kk1,Yes,Do you have a history of heart diseases?,Yes,0
Q132,kl1,No,Do you have a history of heart diseases?,No,0
Q133,km1,Yes,Have you been feeling dizzy or lightheaded?,Yes,0
Q133,kn1,No,Have you been feeling dizzy or lightheaded?,No,0
Q134,ko1,Yes,Do you have a history of vascular diseases or conditions?,Yes,0
Q134,kp1,No,Do you have a history of vascular diseases or conditions?,No,0
Q135,kq1,Yes,Have you recently experienced any trauma or injury?,Yes,0
Q135,kr1,No,Have you recently experienced any trauma or injury?,No,0
Q136,ks1,Yes,Do you have a history of clotting disorders?,Yes,0
Q136,kt1,No,Do you have a history of clotting disorders?,No,0
Q137,ku1,Yes,Have you recently undergone any surgeries or procedures?,Yes,0
Q137,kv1,No,Have you recently undergone any surgeries or procedures?,No,0
Q138,kw1,Yes,Do you have a history of cancer?,Yes,0
Q138,kx1,No,Do you have a history of cancer?,No,0
Q139,ky1,Yes,Have you noticed any abnormal growths or changes in your skin?,Yes,0
Q139,kz1,No,Have you noticed any abnormal growths or changes in your skin?,No,0
Q140,la1,Yes,Do you have a family history of cancer?,Yes,0
Q140,lb1,No,Do you have a family history of cancer?,No,0
Q141,lc1,Yes,Do you have a history of gastrointestinal disorders?,Yes,0
Q141,ld1,No,Do you have a history of gastrointestinal disorders?,No,0
Q142,le1,Yes,Have you noticed any changes in your bowel habits?,Yes,0
Q142,lf1,No,Have you noticed any changes in your bowel habits?,No,0
Q143,lg1,Yes,Do you have a history of throat disorders or conditions?,Yes,0
Q143,lh1,No,Do you have a history of throat disorders or conditions?,No,0
Q144,li1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q144,lj1,No,Have you recently started any new medications or treatments?,No,0
Q145,lk1,Yes,Do you have a history of eye diseases or conditions?,Yes,0
Q145,ll1,No,Do you have a history of eye diseases or conditions?,No,0
Q146,lm1,Yes,Have you been diagnosed with any autoimmune diseases?,Yes,0
Q146,ln1,No,Have you been diagnosed with any autoimmune diseases?,No,0
Q147,lo1,Yes,Do you have a history of sinusitis?,Yes,0
Q147,lp1,No,Do you have a history of sinusitis?,No,0
Q148,lq1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q148,lr1,No,Have you recently started any new medications or treatments?,No,0
Q149,ls1,Yes,Do you have a history of skin diseases or conditions?,Yes,0
Q149,lt1,No,Do you have a history of skin diseases or conditions?,No,0
Q150,lu1,Yes,Have you noticed any changes in your skin?,Yes,0
Q150,lv1,No,Have you noticed any changes in your skin?,No,0
Q151,lw1,Yes,Have you recently undergone any surgeries or procedures?,Yes,0
Q151,lx1,No,Have you recently undergone any surgeries or procedures?,No,0
Q152,ly1,Yes,Do you have a history of infections?,Yes,0
Q152,lz1,No,Do you have a history of infections?,No,0
Q153,ma1,Yes,Have you been diagnosed with any autoimmune diseases?,Yes,0
Q153,mb1,No,Have you been diagnosed with any autoimmune diseases?,No,0
Q154,mc1,Yes,Do you have a history of ear diseases or conditions?,Yes,0
Q154,md1,No,Do you have a history of ear diseases or conditions?,No,0
Q155,me1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q155,mf1,No,Have you recently started any new medications or treatments?,No,0
Q156,mg1,Yes,Do you have a history of sinusitis?,Yes,0
Q156,mh1,No,Do you have a history of sinusitis?,No,0
Q157,mi1,Yes,Do you have a history of throat disorders or conditions?,Yes,0
Q157,mj1,No,Do you have a history of throat disorders or conditions?,No,0
Q158,mk1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q158,ml1,No,Have you recently started any new medications or treatments?,No,0
Q159,mm1,Yes,Do you have a history of neck or spine disorders?,Yes,0
Q159,mn1,No,Do you have a history of neck or spine disorders?,No,0
Q160,mo1,Yes,Have you recently experienced any trauma or injury?,Yes,0
Q160,mp1,No,Have you recently experienced any trauma or injury?,No,0
Q161,mq1,Yes,Do you have a history of throat disorders or conditions?,Yes,0
Q161,mr1,No,Do you have a history of throat disorders or conditions?,No,0
Q162,ms1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q162,mt1,No,Have you recently started any new medications or treatments?,No,0
Q163,mu1,Yes,Do you have a history of sinusitis?,Yes,0
Q163,mv1,No,Do you have a history of sinusitis?,No,0
Q164,mw1,Yes,Do you have a history of infections?,Yes,0
Q164,mx1,No,Do you have a history of infections?,No,0
Q165,my1,Yes,Have you been diagnosed with any autoimmune diseases?,Yes,0
Q165,mz1,No,Have you been diagnosed with any autoimmune diseases?,No,0
Q166,na1,Yes,Do you have a history of eye diseases or conditions?,Yes,0
Q166,nb1,No,Do you have a history of eye diseases or conditions?,No,0
Q167,nc1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q167,nd1,No,Have you recently started any new medications or treatments?,No,0
Q168,ne1,Yes,Do you have a history of ear diseases or conditions?,Yes,0
Q168,nf1,No,Do you have a history of ear diseases or conditions?,No,0
Q169,ng1,Yes,Do you have a history of neck or spine disorders?,Yes,0
Q169,nh1,No,Do you have a history of neck or spine disorders?,No,0
Q170,ni1,Yes,Have you recently experienced any trauma or injury?,Yes,0
Q170,nj1,No,Have you recently experienced any trauma or injury?,No,0
Q171,nk1,Yes,Do you have a history of throat disorders or conditions?,Yes,0
Q171,nl1,No,Do you have a history of throat disorders or conditions?,No,0
Q172,nm1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q172,nn1,No,Have you recently started any new medications or treatments?,No,0
Q173,no1,Yes,Do you have a history of sinusitis?,Yes,0
Q173,np1,No,Do you have a history of sinusitis?,No,0
Q174,nq1,Yes,Do you have a history of infections?,Yes,0
Q174,nr1,No,Do you have a history of infections?,No,0
Q175,ns1,Yes,Have you been diagnosed with any autoimmune diseases?,Yes,0
Q175,nt1,No,Have you been diagnosed with any autoimmune diseases?,No,0
Q176,nu1,Yes,Do you have a history of eye diseases or conditions?,Yes,0
Q176,nv1,No,Do you have a history of eye diseases or conditions?,No,0
Q177,nw1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q177,nx1,No,Have you recently started any new medications or treatments?,No,0
Q178,ny1,Yes,Do you have a history of ear diseases or conditions?,Yes,0
Q178,nz1,No,Do you have a history of ear diseases or conditions?,No,0
Q179,oa1,Yes,Do you have a history of neck or spine disorders?,Yes,0
Q179,ob1,No,Do you have a history of neck or spine disorders?,No,0
Q180,oc1,Yes,Have you recently experienced any trauma or injury?,Yes,0
Q180,od1,No,Have you recently experienced any trauma or injury?,No,0
Q181,oe1,Yes,Do you have a history of throat disorders or conditions?,Yes,0
Q181,of1,No,Do you have a history of throat disorders or conditions?,No,0
Q182,og1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q182,oh1,No,Have you recently started any new medications or treatments?,No,0
Q183,oi1,Yes,Do you have a history of sinusitis?,Yes,0
Q183,oj1,No,Do you have a history of sinusitis?,No,0
Q184,ok1,Yes,Do you have a history of infections?,Yes,0
Q184,ol1,No,Do you have a history of infections?,No,0
Q185,om1,Yes,Have you been diagnosed with any autoimmune diseases?,Yes,0
Q185,on1,No,Have you been diagnosed with any autoimmune diseases?,No,0
Q186,oo1,Yes,Do you have a history of eye diseases or conditions?,Yes,0
Q186,op1,No,Do you have a history of eye diseases or conditions?,No,0
Q187,oq1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q187,or1,No,Have you recently started any new medications or treatments?,No,0
Q188,os1,Yes,Do you have a history of ear diseases or conditions?,Yes,0
Q188,ot1,No,Do you have a history of ear diseases or conditions?,No,0
Q189,ou1,Yes,Do you have a history of neck or spine disorders?,Yes,0
Q189,ov1,No,Do you have a history of neck or spine disorders?,No,0
Q190,ow1,Yes,Have you recently experienced any trauma or injury?,Yes,0
Q190,ox1,No,Have you recently experienced any trauma or injury?,No,0
Q191,oy1,Yes,Do you have a history of throat disorders or conditions?,Yes,0
Q191,oz1,No,Do you have a history of throat disorders or conditions?,No,0
Q192,pa1,Yes,Have you recently started any new medications or treatments?,Yes,0
Q192,pb1,No,Have you recently started any new medications or treatments?,No,0
Q193,pc1,Yes,Do you have a history of sinusitis?,Yes,0
Q193,pd1,No,Do you have a history of sinusitis?,No,0
Q194,pe1,Yes,Do you have a history of infections?,Yes,0
